MatchNo,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home Form,Away Form,Home Streak,Away Streak
125,10,7,0,3,1,0,2,1,12,12,2,4,8,13,6,3,1,2,0,0,0.5068457444397699,0.9404964238444602,0.25,0.25
126,16,11,0,0,2,0,0,2,10,9,1,5,18,6,4,5,4,2,0,0,0.5105725124847701,0.7615080917842301,0.0,0.75
127,18,8,1,1,2,0,1,1,24,5,5,2,10,13,8,0,1,4,0,0,1.07719525800877,0.6665638870222301,0.5,0.0
128,12,1,0,1,1,0,0,2,8,17,2,2,8,14,5,5,2,0,0,0,0.7644361918924598,0.8136123104145401,0.75,0.75
129,17,19,1,2,1,1,0,0,4,14,0,5,10,10,3,7,2,3,1,0,0.8618258449917702,3.21137751053923,0.5,1.0
130,6,5,4,1,0,1,1,2,17,5,5,2,6,13,7,2,0,0,0,0,0.7225737464507959,0.4314366459644341,0.3333333333333333,0.3333333333333333
131,2,4,0,0,2,0,0,2,10,10,4,4,13,8,10,5,2,0,0,0,0.6287460675550001,0.355585152583,0.4166666666666667,0.4166666666666667
132,13,18,2,1,0,2,0,0,7,18,4,6,7,10,4,9,1,2,0,0,0.94849485404554,0.7707374954614599,0.4166666666666667,0.3333333333333333
133,7,9,2,4,1,0,3,1,12,15,3,7,12,10,5,5,2,1,0,0,0.5365427097671058,0.9538032385568941,0.5,0.75
134,8,10,2,2,2,1,0,0,8,14,4,4,13,12,1,6,0,0,0,0,0.4429173111793618,0.3504834343446382,0.08333333333333333,0.0
135,1,17,5,0,0,1,0,0,21,7,7,2,10,12,7,2,0,1,0,0,2.918080202731,0.17956663923100002,0.75,0.25
136,11,12,1,2,1,0,1,1,10,10,2,4,9,11,4,6,0,1,0,0,0.40501085846199997,1.5227040702070005,0.5833333333333334,0.75
137,3,16,1,0,0,0,0,2,21,2,10,0,10,7,15,1,1,0,0,0,1.50592290049246,0.22390132205431,0.8333333333333334,0.08333333333333333
138,5,20,4,0,0,2,0,0,8,7,5,3,16,6,2,6,2,1,0,0,0.981879300851876,0.35549278635512405,0.3333333333333333,0.16666666666666666
139,19,6,2,1,0,0,0,2,26,7,12,2,12,11,6,5,1,1,0,0,2.62186808098546,0.4144982067075399,1.0,0.3333333333333333
140,15,14,0,3,1,0,1,1,10,14,1,7,8,10,5,9,1,5,0,0,0.5919285108772301,1.26420572248477,0.4166666666666667,0.8333333333333334
141,1,9,1,3,1,0,2,1,33,8,15,4,11,10,12,1,3,2,0,1,1.9551137358297697,1.916769705458124,0.75,0.75
142,2,14,1,5,1,0,2,1,6,12,2,6,8,7,2,2,1,0,0,0,0.42125986526185,1.4716919247779199,0.4166666666666667,0.8333333333333334
143,3,10,3,1,0,2,1,0,23,8,9,2,8,13,11,4,0,1,0,0,1.6215824338261908,0.2348239010109076,0.8333333333333334,0.08333333333333333
144,5,17,2,0,0,0,0,2,6,5,4,3,12,9,2,5,2,1,0,0,1.041136291798106,0.12030964828477,0.5833333333333334,0.25
145,13,12,1,0,0,1,0,0,16,14,3,4,3,11,10,7,0,2,0,0,1.4509871972138502,1.02021172703869,0.4166666666666667,0.75
146,15,16,2,1,0,2,1,0,10,10,3,3,12,10,2,6,2,0,0,0,0.6658159471551524,0.1500138857763877,0.16666666666666666,0.08333333333333333
147,7,18,1,1,2,1,1,2,6,8,2,2,16,8,7,2,4,1,0,1,0.6138269890462427,0.6934532161823231,0.5,0.3333333333333333
148,8,4,0,0,2,0,0,2,20,10,6,2,11,10,3,7,3,1,0,0,0.4140976988425624,0.3844047649197994,0.16666666666666666,0.4166666666666667
149,11,6,1,1,2,1,0,0,16,15,5,4,6,12,5,4,2,1,0,0,0.4081416833830282,0.4113673817865117,0.5833333333333334,0.25
150,19,20,2,1,0,0,1,1,24,7,8,4,5,7,10,4,2,2,0,0,2.739180700482651,0.2381801668579331,1.0,0.08333333333333333
151,12,7,1,0,0,1,0,0,8,11,5,2,10,12,3,5,1,0,0,1,1.0748000117611318,0.6301326039757883,0.5,0.5833333333333334
152,4,11,2,2,2,2,2,2,24,11,8,5,14,14,6,3,5,2,0,0,0.9458834921504958,0.8523198561437341,0.5,0.4166666666666667
153,17,2,2,0,0,2,0,0,19,7,6,2,6,10,8,1,0,0,0,0,1.0653052841399202,0.41312492190685,0.0,0.16666666666666666
154,10,13,2,3,1,1,1,2,10,13,4,5,10,9,6,5,2,1,0,0,0.33958664877464595,0.962190660756204,0.08333333333333333,0.5833333333333334
155,16,8,1,0,0,0,0,2,18,7,3,1,8,18,6,3,2,5,0,0,0.730538595202106,0.44659780430489415,0.08333333333333333,0.25
156,18,15,5,1,0,1,0,0,20,4,11,3,12,9,12,6,1,0,0,0,1.249066379926134,0.34895045965040583,0.16666666666666666,0.3333333333333333
157,20,3,1,0,0,1,0,0,5,19,2,2,10,10,4,3,6,1,0,0,1.3459307602610877,1.3222492496560367,0.08333333333333333,0.8333333333333334
158,14,5,1,1,2,1,0,0,23,3,3,2,8,11,12,1,1,3,0,0,1.4640852572153509,0.9400546186701094,0.8333333333333334,0.5833333333333334
159,9,19,1,2,1,1,1,2,8,14,5,7,16,10,2,8,4,2,0,0,2.109998145322406,4.250630328384593,1.0,1.0
160,6,1,1,1,2,1,0,0,6,11,3,6,12,10,4,5,2,2,0,0,0.7526164725588315,0.7835695843065045,0.3333333333333333,0.75
161,12,15,1,0,0,0,0,2,10,14,2,7,6,14,6,4,0,0,0,0,1.1899536634457657,0.2337968079657719,0.5,0.25
162,4,7,2,1,0,0,1,1,14,7,4,2,14,18,4,6,2,1,0,1,1.1538272514625059,0.42218884466377815,0.5,0.3333333333333333
163,17,3,1,3,1,0,2,1,7,12,2,5,11,4,1,3,0,0,0,0,0.7137545403737465,1.6737999934222103,0.25,0.5833333333333334
164,14,8,0,0,2,0,0,2,14,6,5,1,16,6,5,7,1,0,0,0,1.1283143977549,0.7823686637653449,0.6666666666666666,0.25
165,9,11,1,0,0,1,0,0,9,14,2,7,14,12,4,9,1,2,0,0,2.3912636978498383,0.5710543036163018,0.75,0.25
166,10,5,0,1,1,0,1,1,16,7,4,4,10,11,4,1,1,2,1,0,0.2275230546790128,1.052118212765743,0.08333333333333333,0.5833333333333334
167,6,13,1,4,1,0,3,1,12,16,4,11,13,9,9,9,1,0,0,0,0.5042530366144171,1.2105540967006183,0.4166666666666667,0.8333333333333334
168,16,19,0,4,1,0,2,1,7,23,3,10,12,6,2,5,0,0,0,0,0.48946085878541107,4.49170806480129,0.3333333333333333,1.0
169,18,2,2,0,0,1,0,0,25,7,8,4,5,10,10,2,1,1,0,0,1.3853976041553946,0.27679369767758943,0.4166666666666667,0.08333333333333333
170,20,1,0,0,2,0,0,2,6,22,0,3,9,9,1,7,1,0,0,0,1.160351572196075,0.9691487723715168,0.3333333333333333,0.5833333333333334
171,1,10,1,0,0,1,0,0,23,10,5,2,13,9,7,5,2,1,0,0,2.0326056231633696,0.1573320136773081,0.4166666666666667,0.08333333333333333
172,2,12,0,0,2,0,0,2,12,11,2,6,13,13,8,2,4,2,0,0,0.6189139796482073,0.8225576126523328,0.08333333333333333,0.75
173,3,6,1,0,0,1,0,0,24,6,8,2,8,16,8,4,1,3,0,0,1.7573336698157398,0.2756161457969628,0.75,0.16666666666666666
174,13,4,0,3,1,0,2,1,11,13,2,6,12,13,6,4,2,2,1,0,0.9721614221332796,0.8632305400003699,1.0,0.5
175,19,18,4,1,0,1,0,0,20,7,11,2,13,20,5,1,2,4,0,0,2.9680202618228178,0.4646136548421565,1.0,0.5833333333333334
176,15,20,0,3,1,0,1,1,17,14,0,7,12,13,7,9,2,1,0,0,0.4460966845939521,0.4578994294191334,0.25,0.3333333333333333
177,7,17,1,4,1,0,2,1,13,15,3,9,12,17,8,7,2,1,1,1,0.4112640826609826,0.3228725546700301,0.08333333333333333,0.25
178,11,14,0,4,1,0,3,1,6,21,2,7,5,10,2,3,1,1,0,0,0.2734549278666289,1.6063786802943194,0.16666666666666666,0.6666666666666666
179,8,9,1,2,1,0,2,1,12,8,5,3,14,7,6,3,1,3,0,0,0.2774454582245168,2.0534219460761696,0.25,0.75
180,5,16,3,1,0,1,1,2,12,8,7,3,12,12,6,3,2,3,0,0,1.090640874104314,0.10050930347017976,0.8333333333333334,0.25
181,1,14,3,3,2,0,1,1,11,14,4,9,9,11,7,8,1,0,0,0,1.8919507320165831,1.7470335714411058,0.4166666666666667,0.6666666666666666
182,2,7,1,0,0,0,0,2,14,13,3,1,8,11,6,4,0,0,0,0,0.758236298387254,0.2828665259247314,0.08333333333333333,0.08333333333333333
183,12,18,0,3,1,0,1,1,5,18,2,8,10,10,4,4,1,2,0,0,0.797268954508663,0.8572983637792593,0.5833333333333334,0.5833333333333334
184,5,3,0,0,2,0,0,2,5,25,0,8,8,4,2,7,3,0,0,0,1.2830833834792197,1.4813574840473047,0.8333333333333334,0.75
